"LOCID" "description" "feature"
"406" "LOC105319124" "V-type proton ATPase subunit C 1" "genome"
"407" "LOC105319122" "ephrin-B2 isoform X2" "genome"
"408" "LOC105319121" "myotrophin homolog" "genome"
"409" "LOC105340437" "acyl-CoA synthetase short-chain family member 3, mitochondrial isoform X2" "genome"
"410" "LOC105340438" "isochorismatase domain-containing protein 2" "genome"
"411" "LOC105340439" "GDH/6PGL endoplasmic bifunctional protein" "genome"
"412" "LOC117680600" "fibrinogen gamma chain-like" "genome"
"413" "LOC105331858" "ficolin-1-A" "genome"
"414" "LOC117687251" "uncharacterized protein K02A2.6-like" "genome"
"415" "LOC105331871" "ficolin-1-A" "genome"
"416" "LOC105331863" "uncharacterized protein LOC105331863" "genome"
"417" "LOC105331864" "protein FAM124A" "genome"
"418" "LOC105331865" "putative ammonium transporter 1 isoform X2" "genome"
"419" "LOC105331866" "putative ammonium transporter 1 isoform X2" "genome"
"420" "LOC117692910" "uncharacterized protein LOC117692910 isoform X2" "genome"
"421" "LOC105331867" "putative ammonium transporter 1" "genome"
"422" "LOC117692915" "ammonium transporter 1 member 3-like isoform X2" "genome"
"423" "LOC105331868" "putative ammonium transporter 1 isoform X2" "genome"
"424" "LOC105331869" "putative ammonium transporter 1 isoform X1" "genome"
"425" "LOC105335381" "uncharacterized protein LOC105335381 isoform X2" "genome"
"426" "LOC105335380" "uncharacterized protein LOC105335380" "genome"
"427" "LOC117692931" "uncharacterized protein LOC117692931" "genome"
"428" "LOC105320115" "ADP-ribosylation factor-like protein 1" "genome"
"429" "LOC105320117" "serine/arginine-rich splicing factor 6 isoform X1" "genome"
"430" "LOC105325160" "uncharacterized protein LOC105325160 isoform X1" "genome"
"431" "LOC105325159" "cysteine-rich motor neuron 1 protein-like" "genome"
"432" "LOC105325157" "CCN family member 3-like" "genome"
"433" "LOC105325156" "uncharacterized protein LOC105325156" "genome"
"434" "LOC105325155" "transmembrane protein 101" "genome"
"435" "LOC105325152" "calmodulin-like" "genome"
"436" "LOC105325151" "calmodulin-beta-like" "genome"
"437" "LOC105325150" "uncharacterized protein LOC105325150" "genome"
"438" "LOC105325149" "protocadherin-16" "genome"
"439" "LOC105325148" "GTP-binding protein Rheb" "genome"
"440" "LOC105325147" "peptidase inhibitor 15-like isoform X2" "genome"
"441" "LOC105325146" "peptidase inhibitor R3HDML" "genome"
"442" "LOC105325144" "beta-1,3-galactosyltransferase 5 isoform X3" "genome"
"443" "LOC105325143" "cytochrome P450 3A24" "genome"
"444" "LOC105325142" "neuronal acetylcholine receptor subunit alpha-6" "genome"
"445" "LOC105325141" "uncharacterized protein LOC105325141" "genome"
"446" "LOC105325140" "myoneurin isoform X5" "genome"
"447" "LOC105325138" "uncharacterized protein LOC105325138 isoform X14" "genome"
"448" "LOC105325137" "M-phase inducer phosphatase" "genome"
"449" "LOC105325136" "uncharacterized protein LOC105325136" "genome"
"450" "LOC117693005" "uncharacterized protein LOC117693005" "genome"
"451" "LOC117693008" "uncharacterized protein LOC117693008 isoform X3" "genome"
"452" "LOC105348681" "putative nuclease HARBI1" "genome"
"453" "LOC105348677" "probable G-protein coupled receptor 19" "genome"
"454" "LOC105348676" "uncharacterized protein LOC105348676" "genome"
"455" "LOC105348673" "cadherin-23 isoform X2" "genome"
"456" "LOC105348672" "uncharacterized protein LOC105348672" "genome"
"457" "LOC117692561" "ATP-dependent DNA helicase Q-like 2" "genome"
"458" "LOC105348660" "keratin-associated protein 21-2" "genome"
"459" "LOC105348659" "TNF receptor-associated factor 6 isoform X1" "genome"
"460" "LOC105348658" "ubiquitin-conjugating enzyme E2 Z" "genome"
"461" "LOC105342443" "ATP-dependent DNA helicase Q1-like" "genome"
"462" "LOC105342445" "uncharacterized protein LOC105342445 isoform X4" "genome"
"463" "LOC105342444" "uncharacterized protein LOC105342444" "genome"
"464" "LOC105342446" "microtubule-associated proteins 1A/1B light chain 3A" "genome"
"465" "LOC105342447" "ADP-ribosylation factor 6" "genome"
"466" "LOC105342449" "neuronal acetylcholine receptor subunit alpha-2" "genome"
"467" "LOC105342450" "protein FAM199X" "genome"
"468" "LOC105342452" "uncharacterized protein LOC105342452" "genome"
"469" "LOC105342453" "tetraspanin-1" "genome"
"470" "LOC105342476" "uncharacterized protein LOC105342476" "genome"
"471" "LOC105342454" "uncharacterized protein LOC105342454" "genome"
"472" "LOC105342455" "uncharacterized protein LOC105342455" "genome"
"473" "LOC105342456" "protein adenylyltransferase SelO, mitochondrial isoform X1" "genome"
"474" "LOC117692614" "uncharacterized protein LOC117692614 isoform X1" "genome"
"475" "LOC117692616" "uncharacterized protein LOC117692616" "genome"
"476" "LOC105342457" "arrestin domain-containing protein 5 isoform X4" "genome"
"477" "LOC105342458" "uncharacterized protein LOC105342458" "genome"
"478" "LOC105342459" "zinc finger protein 385D" "genome"
"479" "LOC105342461" "calmodulin-regulated spectrin-associated protein 1 isoform X3" "genome"
"480" "LOC105342462" "cartilage acidic protein 1" "genome"
"481" "LOC105342477" "DNA repair and recombination protein RAD54-like" "genome"
"482" "LOC105342359" "uncharacterized protein LOC105342359" "genome"
"483" "LOC105342463" "clathrin light chain A isoform X3" "genome"
"484" "LOC105342478" "tubulin-specific chaperone cofactor E-like protein isoform X1" "genome"
"485" "LOC105333454" "U11/U12 small nuclear ribonucleoprotein 25 kDa protein isoform X2" "genome"
"486" "LOC105333451" "DNA-directed RNA polymerase III subunit RPC10 isoform X2" "genome"
"487" "LOC105333455" "uncharacterized protein LOC105333455" "genome"
"488" "LOC105333456" "uncharacterized protein LOC105333456" "genome"
"489" "LOC105333492" "ankyrin repeat-containing protein DDB_G0279043" "genome"
"490" "LOC117692687" "salivary glue protein Sgs-3-like" "genome"
"491" "LOC105333458" "HEAT repeat-containing protein 1 homolog isoform X1" "genome"
"492" "LOC105333459" "PR domain zinc finger protein 12" "genome"
"493" "LOC105333460" "E3 ubiquitin-protein ligase Siah1" "genome"
"494" "LOC117687267" "LOW QUALITY PROTEIN: mucin-17-like" "genome"
"495" "LOC105317347" "eukaryotic translation initiation factor 4 gamma 2-like" "genome"
"496" "LOC105317339" "cytochrome c oxidase assembly protein COX18, mitochondrial-like" "genome"
"497" "LOC105317338" "uncharacterized protein LOC105317338 isoform X3" "genome"
"498" "LOC105317335" "sulfotransferase 1C4" "genome"
"499" "LOC105317337" "sulfotransferase 1C4 isoform X3" "genome"
"500" "LOC117692715" "uncharacterized protein LOC117692715" "genome"
"501" "LOC117680416" "uncharacterized protein LOC117680416 isoform X1" "genome"
"502" "LOC105329895" "uncharacterized protein LOC105329895 isoform X1" "genome"
"503" "LOC105329896" "uncharacterized protein LOC105329896" "genome"
"504" "LOC105329897" "double-stranded RNA-specific editase 1-like" "genome"
"505" "LOC105329900" "uncharacterized protein LOC105329900" "genome"
"506" "LOC105329898" "sodium-coupled monocarboxylate transporter 1" "genome"
"507" "LOC105333209" "uncharacterized protein LOC105333209" "genome"
"508" "LOC105333185" "zinc transporter ZIP10" "genome"
"509" "LOC105333186" "uncharacterized protein LOC105333186 isoform X1" "genome"
"510" "LOC105333189" "uncharacterized protein LOC105333189" "genome"
"511" "LOC105333188" "uncharacterized protein LOC105333188 isoform X1" "genome"
"512" "LOC105333187" "uncharacterized protein LOC105333187" "genome"
"513" "LOC105333190" "uncharacterized protein LOC105333190" "genome"
"514" "LOC105333192" "tubulin epsilon chain" "genome"
"515" "LOC105333191" "tripartite motif-containing protein 2" "genome"
"516" "LOC105333193" "rhodopsin, GQ-coupled" "genome"
"517" "LOC117690902" "aryl hydrocarbon receptor nuclear translocator-like protein 1" "genome"
"518" "LOC117693025" "uncharacterized protein LOC117693025" "genome"
"519" "LOC105333210" "protein cycle isoform X4" "genome"
"520" "LOC105333195" "2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial" "genome"
"521" "LOC105333196" "uncharacterized protein LOC105333196 isoform X2" "genome"
"522" "LOC105333198" "dynamin-binding protein-like isoform X2" "genome"
"523" "LOC117690883" "uncharacterized protein LOC117690883" "genome"
"524" "LOC105333199" "uncharacterized protein LOC105333199" "genome"
"525" "LOC105333200" "uncharacterized protein LOC105333200" "genome"
"526" "LOC117683174" "uncharacterized protein LOC117683174 isoform X2" "genome"
"527" "LOC117683199" "uncharacterized protein LOC117683199" "genome"
"528" "LOC117687285" "uncharacterized protein LOC117687285" "genome"
"529" "LOC105347033" "sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1" "genome"
"530" "LOC105347032" "SAP30-binding protein isoform X1" "genome"
"531" "LOC105347031" "kinesin-like protein KIF27 isoform X1" "genome"
"532" "LOC105347030" "axonemal 84 kDa protein isoform X4" "genome"
"533" "LOC105347029" "carboxy-terminal kinesin 2" "genome"
"534" "LOC105347028" "uncharacterized protein LOC105347028" "genome"
"535" "LOC105347026" "KICSTOR complex protein ITFG2" "genome"
"536" "LOC105347025" "uncharacterized protein LOC105347025" "genome"
"537" "LOC109621074" "uncharacterized protein LOC109621074" "genome"
"538" "LOC117683256" "beta-1,3-galactosyltransferase 1-like" "genome"
"539" "LOC117680308" "mucin-5AC-like isoform X3" "genome"
"540" "LOC117683272" "spore coat protein SP65-like" "genome"
"541" "LOC117683276" "uncharacterized protein LOC117683276 isoform X2" "genome"
"542" "LOC117683280" "integumentary mucin C.1-like isoform X3" "genome"
"543" "LOC117683284" "atrial natriuretic peptide receptor 2-like" "genome"
"544" "LOC105324136" "receptor-type guanylate cyclase gcy-28" "genome"
"545" "LOC105324420" "atrial natriuretic peptide receptor 2" "genome"
"546" "LOC105345759" "atrial natriuretic peptide receptor 2 isoform X1" "genome"
"547" "LOC105345761" "1,5-anhydro-D-fructose reductase-like" "genome"
"548" "LOC105345760" "CD151 antigen-like" "genome"
"549" "LOC105345762" "whirlin-like" "genome"
"550" "LOC105345764" "EF-hand domain-containing protein 1" "genome"
"551" "LOC105345763" "gamma-1-syntrophin" "genome"
"552" "LOC105345765" "metallophosphoesterase MPPED2 isoform X2" "genome"
"553" "LOC105341485" "uncharacterized protein LOC105341485" "genome"
"554" "LOC105341486" "Golgi SNAP receptor complex member 2" "genome"
"555" "LOC105341487" "coiled-coil domain-containing protein 13 isoform X2" "genome"
"556" "LOC105341512" "ABC transporter G family member 22 isoform X1" "genome"
"557" "LOC105341492" "uncharacterized protein LOC105341492 isoform X1" "genome"
"558" "LOC105341511" "synaptojanin-1 isoform X1" "genome"
"559" "LOC105341493" "PIN2/TERF1-interacting telomerase inhibitor 1 isoform X3" "genome"
"560" "LOC105341494" "serine/threonine-protein kinase PLK1" "genome"
"561" "LOC105341496" "cholecystokinin receptor" "genome"
"562" "LOC109620374" "olfactory receptor 51V1-like" "genome"
"563" "LOC109620373" "olfactory receptor 51F2-like" "genome"
"564" "LOC105341497" "inactive phospholipase C-like protein 2" "genome"
"565" "LOC105341498" "ubiquitin carboxyl-terminal hydrolase 44" "genome"
"566" "LOC105341499" "uncharacterized protein LOC105341499" "genome"
"567" "LOC105341500" "uncharacterized protein LOC105341500" "genome"
"568" "LOC105321645" "uncharacterized protein LOC105321645" "genome"
"569" "LOC105321664" "STE20-related kinase adapter protein alpha isoform X1" "genome"
"570" "LOC105326861" "proteasomal ubiquitin receptor ADRM1-B" "genome"
"571" "LOC105326859" "G-protein coupled receptor 157" "genome"
"572" "LOC105326860" "choline/ethanolaminephosphotransferase 1 isoform X2" "genome"
"573" "LOC105326858" "branched-chain-amino-acid aminotransferase, cytosolic isoform X2" "genome"
"574" "LOC105326856" "transcription factor SOX-5 isoform X1" "genome"
"575" "LOC105326855" "sulfotransferase family cytosolic 1B member 1 isoform X1" "genome"
"576" "LOC117683520" "uncharacterized protein LOC117683520" "genome"
"577" "LOC105334988" "sulfotransferase 1A1" "genome"
"578" "LOC105334986" "sulfotransferase 1A1" "genome"
"579" "LOC105334989" "uncharacterized protein LOC105334989" "genome"
"580" "LOC105334991" "uncharacterized protein LOC105334991" "genome"
"581" "LOC105334992" "phytanoyl-CoA hydroxylase-interacting protein-like" "genome"
"582" "LOC117687306" "GTPase IMAP family member 4-like" "genome"
"583" "LOC105334937" "uncharacterized protein LOC105334937" "genome"
"584" "LOC105334955" "peptidyl-prolyl cis-trans isomerase FKBP4 isoform X2" "genome"
"585" "LOC105334966" "sodium channel modifier 1" "genome"
"586" "LOC105335377" "uncharacterized protein LOC105335377 isoform X4" "genome"
"587" "LOC105334984" "radial spoke head 14 homolog" "genome"
"588" "LOC105334993" "phosphonopyruvate decarboxylase isoform X3" "genome"
"589" "LOC105335019" "uncharacterized protein LOC105335019 isoform X1" "genome"
"590" "LOC105335035" "nck-associated protein 1 isoform X44" "genome"
"591" "LOC105335162" "dnaJ homolog subfamily C member 25 homolog isoform X2" "genome"
"592" "LOC105335176" "uncharacterized protein LOC105335176 isoform X1" "genome"
"593" "LOC105335192" "helicase with zinc finger domain 2" "genome"
"594" "LOC105335200" "uncharacterized protein LOC105335200 isoform X1" "genome"
"595" "LOC105335206" "uncharacterized protein LOC105335206" "genome"
"596" "LOC117682581" "uncharacterized protein LOC117682581" "genome"
"597" "LOC105335219" "uncharacterized protein LOC105335219 isoform X2" "genome"
"598" "LOC105335229" "uncharacterized protein LOC105335229" "genome"
"599" "LOC105335382" "pancreatic lipase-related protein 2 isoform X2" "genome"
"600" "LOC105335250" "neuropeptide S receptor" "genome"
"601" "LOC105335259" "galactose-3-O-sulfotransferase 2" "genome"
"602" "LOC105335295" "LOW QUALITY PROTEIN: gigasin-2" "genome"
"603" "LOC105335286" "EGF-like domain-containing protein 2" "genome"
"604" "LOC105335268" "EGF-like domain-containing protein 2 isoform X1" "genome"
"605" "LOC105335389" "mdm2-binding protein isoform X1" "genome"
"606" "LOC105335319" "uncharacterized protein LOC105335319" "genome"
"607" "LOC105335329" "uncharacterized protein LOC105335329" "genome"
"608" "LOC105335339" "beta-1,3-galactosyltransferase 5 isoform X1" "genome"
"609" "LOC117682625" "uncharacterized protein LOC117682625" "genome"
"610" "LOC105322395" "DNA polymerase delta catalytic subunit" "genome"
"611" "LOC105322396" "ras association domain-containing protein 9" "genome"
"612" "LOC105322397" "uncharacterized protein LOC105322397" "genome"
"613" "LOC105322398" "uncharacterized protein LOC105322398" "genome"
"614" "LOC105322399" "low affinity immunoglobulin epsilon Fc receptor isoform X4" "genome"
"615" "LOC105347567" "neo-calmodulin isoform X1" "genome"
"616" "LOC105322401" "uncharacterized protein LOC105322401" "genome"
"617" "LOC117682685" "uncharacterized protein LOC117682685" "genome"
"618" "LOC105331727" "UNC5C-like protein" "genome"
"619" "LOC105331728" "FMRFamide receptor isoform X1" "genome"
"620" "LOC105331730" "homeobox protein MOX-1" "genome"
"621" "LOC105331731" "ribulose-phosphate 3-epimerase" "genome"
"622" "LOC105331734" "mucin-19" "genome"
"623" "LOC105343510" "putative uncharacterized protein DDB_G0286901" "genome"
"624" "LOC117687309" "GATA zinc finger domain-containing protein 14-like" "genome"
"625" "LOC105343441" "uncharacterized protein LOC105343441" "genome"
"626" "LOC105343446" "sulfotransferase 1E1-like" "genome"
"627" "LOC105343440" "sulfotransferase 1E1" "genome"
"628" "LOC105343439" "sulfotransferase family cytosolic 1B member 1" "genome"
"629" "LOC105343445" "D-beta-hydroxybutyrate dehydrogenase, mitochondrial-like isoform X1" "genome"
"630" "LOC105343438" "D-beta-hydroxybutyrate dehydrogenase, mitochondrial-like isoform X2" "genome"
"631" "LOC109617405" "uncharacterized protein LOC109617405" "genome"
"632" "LOC117685481" "uncharacterized protein LOC117685481" "genome"
"633" "LOC117684766" "uncharacterized protein LOC117684766 isoform X2" "genome"
"634" "LOC105341380" "uncharacterized protein LOC105341380" "genome"
